Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-73669,DEL|smoothie| mango pineapple,GV - DELISH,Green,False,False,True,77.15135795454546,0.3750852272727273,0.1480619318181818,0.59,1.92,22.04,0.11,0.17,0.55,0.04
R-56613,DEL|Smoothie|Almonds forever,GV - DELISH,Yellow,False,True,False,324.6586903846154,1.122366346153846,0.6753392307692305,101.87,7213.85,94.72,0.33,29.72,2104.7,0.2
R-44306,DEL|Smoothie|Banana Matcha ,GV - DELISH,Green,False,False,True,284.9365655862922,1.5399478754492422,0.5548303390972219,71.85,4270.05,78.06,0.42,19.68,1169.88,0.15
R-43697,DEL|Smoothie|Blueberry Boost ,GV - DELISH,Red,True,False,False,1649.829015384615,6.896553846153847,1.263809230769206,281.74,11794.01,452.01,1.89,77.19,3231.24,0.35
R-46074,DEL|Smoothie|Bna Almnd Buta,GV - DELISH,Green,False,False,True,169.43259270270272,0.4884658783783784,0.5492655405405387,2.28,128.7,46.42,0.13,0.62,35.26,0.15
R-55185,DEL|Smoothie|C++,GV - DELISH,Green,False,False,True,98.21584423076924,0.4321298076923077,0.2391865384615384,0.52,3.58,119.78,0.53,0.63,4.37,0.29
R-44591,DEL|Smoothie|Chocohlic ,GV - DELISH,Green,False,False,True,368.03976538461546,0.8977788461538463,1.1493692307692307,20.82,820.46,224.41,0.55,12.7,500.28,0.7
R-73662,DEL|Smoothie|coconut mangoo,GV - DELISH,Green,False,False,True,189.00591145052553,1.1294540468085874,0.3232336666725459,4.66,128.63,55.59,0.33,1.37,37.83,0.1
R-36817,DEL|Smoothie|Delish,GV - DELISH,Yellow,False,True,False,1046.6280717948716,4.594817948717949,1.0252997435897435,147.9,6350.32,286.75,1.26,40.52,1739.81,0.28
R-56680,DEL|Smoothie|Green means go,GV - DELISH,Green,False,False,True,150.59618946980805,1.3011002975941968,0.3104950672342443,37.45,1224.15,91.83,0.79,22.84,746.43,0.19
R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH,Green,False,False,True,418.56083203371975,0.8225121180189674,0.3467238777660695,9.71,620.75,120.28,0.24,2.79,178.38,0.1
R-73665,DEL|Smoothie|Presso Espresso,GV - DELISH,Yellow,False,True,False,811.5371153846154,3.6819038461538462,1.634619230769215,33.01,1601.0,278.64,1.26,11.33,549.7,0.56
R-36763,DEL|Smoothie|Rise & Shine,GV - DELISH,Green,False,False,True,878.2484923076925,3.013823076923077,0.7113220512820512,86.81,3731.55,240.62,0.83,23.78,1022.34,0.19
R-73666,DEL|smoothie|strawberry banana,GV - DELISH,Green,False,False,True,162.86266944444446,0.294225,0.1141430555555555,34.41,1376.59,54.65,0.1,11.55,461.94,0.04
R-49036,DEL|Smoothie|Strwbry Cupid,GV - DELISH,Red,True,False,False,7.412514491661613,0.047002769126472,0.0090942461302827,1.2,52.45,741.25,4.7,120.0,5245.0,0.91
R-73663,DEL|Smoothie|tropical ,GV - DELISH,Green,False,False,True,46.85813432017544,0.1617483552631579,0.0604214364035087,5.78,225.13,26.78,0.09,3.3,128.65,0.03
R-14085,DIM SUM|Bun|BBQ Pork (1),GV - DIM SUM,Red,True,False,False,482.54500000000166,6.273000000000022,0.0,94.75,2850.24,567.7,7.38,111.47,3353.22,0.0
R-37741,DIM SUM|Bun|Chicken (1),GV - DIM SUM,Green,False,False,True,288.0968750000013,5.593375000000026,0.0,46.76,1048.22,198.69,3.86,32.25,722.91,0.0
R-47286,DIM SUM|Bun|Vegetable (1),GV - DIM SUM,Green,False,False,True,86.0795000000003,0.9647500000000034,0.0,21.27,669.85,101.27,1.14,25.02,788.06,0.0
R-49029,DIM SUM|Dumplings (3),GV - DIM SUM,Red,True,False,False,483.18639687500047,4.757046875000004,0.0,74.34,2328.13,684.16,6.74,105.26,3296.47,0.0
R-49030,DIM SUM|Potstickers (3),GV - DIM SUM,Green,False,False,True,123.7324687500002,2.059406250000004,0.0,23.63,623.28,149.98,2.5,28.64,755.49,0.0
R-37809,DIM SUM|Wrap Sticky Rice (1),GV - DIM SUM,Yellow,False,True,False,539.6600000000001,5.50875,0.0,168.35,2396.69,431.73,4.41,134.68,1917.35,0.0
R-54202,FF|Bibimbap Bowl|AAD,GV FRESH FARE DAY,Green,False,False,True,847.9444397011714,5.072567231667682,1.5236014251007746,162.53,2581.89,159.39,0.95,30.55,485.32,0.29
R-64951,FF|Bowl|Asparagus scramble|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,1305.9848838405169,14.585832792864846,3.2258970119960244,153.08,5639.81,339.22,3.79,39.76,1464.89,0.84
R-27275,FF|Bowl|Black Bean Break|AAD,GV FRESH FARE BREAKFAST,Green,False,False,True,649.949783027662,5.749955843358053,2.810163253522988,67.81,1800.85,159.69,1.41,16.66,442.47,0.69
R-65942,FF|Bowl|chilimiso scramble|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,709.603494878404,9.78018101886028,1.9502524278432245,97.37,2939.98,228.9,3.15,31.41,948.38,0.63
R-32886,FF|Bowl|Curried Chickpea|AAD,SPECIALS,Green,False,False,True,521.5275666795719,1.98676340214428,2.6745816853924667,87.37,593.78,122.71,0.47,20.56,139.71,0.63
R-43738,FF|BOWL|Dobanjiang Noodle|AAD ,OK - VEGETARIAN KITCHEN,Green,False,False,True,358.87328103753987,3.938651172192152,0.9096910008141892,66.57,2295.0,112.5,1.23,20.87,719.44,0.29
R-57179,FF|Bowl|Fajita VEG|AAD,GV FRESH FARE DAY,Green,False,False,True,636.6342061189793,2.7424388686247045,2.3459954556447933,141.46,1079.16,138.4,0.6,30.75,234.6,0.51
R-36666,FF|Bowl|Five Alarm|AAD,GV FRESH FARE DAY,Green,False,False,True,890.5264776533068,7.891987638805351,1.6077005944831402,216.65,2527.85,189.07,1.68,46.0,536.7,0.34
R-36575,FF|Bowl|Gather|AAD,GV FRESH FARE DAY,Green,False,False,True,782.8957268405703,3.9847991137027745,3.1019149729264672,174.12,3251.29,130.48,0.66,29.02,541.88,0.52
R-54039,FF|Bowl|Kale|AAD,GV FRESH FARE DAY,Green,False,False,True,329.87068853391276,3.639343253907395,1.0298195372379872,38.48,1251.55,112.58,1.24,13.13,427.15,0.35
R-55057,FF|Bowl|Mediterranean|AAD,GV FRESH FARE DAY,Yellow,False,True,False,889.7712619407748,6.41772263356339,2.8014723178280203,137.48,3897.48,237.27,1.71,36.66,1039.33,0.75
R-64398,FF|Bowl|OysterMushroom|AAD,SPECIALS,Green,False,False,True,1047.3566548191386,2.384732504261161,0.6123830922413377,165.91,961.88,295.03,0.67,46.74,270.95,0.17
R-65761,FF|Bowl|Poached Egg Zuc.|AAD,GV FRESH FARE DAY,Green,False,False,True,644.3822479026419,4.38205493964171,1.2173085624972344,184.0,1720.02,179.0,1.22,51.11,477.78,0.34
R-50333,FF|Bowl|Roasted squash|AAD,GV FRESH FARE DAY,Green,False,False,True,399.43763000956784,2.7877145420328797,0.8649983584308388,106.77,911.27,106.52,0.74,28.47,243.01,0.23
R-65513,FF|Bowl|Salsa scramble|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,1090.277779202385,11.51796791396782,3.015895000406678,108.01,3316.23,290.74,3.07,28.8,884.33,0.8
R-40621,FF|Bowl|Thai Coconut|AAD,GV FRESH FARE DAY,Green,False,False,True,507.1952387761598,1.5137034976925232,0.4977052778166139,100.27,471.22,150.06,0.45,29.67,139.41,0.15
R-51215,FF|Bowl|White bean breaky|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,887.2013784091454,6.934317869359866,2.0427515036493453,169.38,3246.72,213.78,1.67,40.81,782.34,0.49
R-67295,FF|BowlEggplant miso|AAD,GV FRESH FARE DAY,Green,False,False,True,764.9467934925846,3.403877947321719,1.3786175906565403,276.96,3460.56,171.13,0.76,61.96,774.17,0.31
R-56895,FF|Brussel Sprout Pasta|AAD,GV FRESH FARE DAY,Yellow,False,True,False,625.9339090904048,5.054352423198363,1.217885799302855,84.57,3861.27,207.95,1.68,28.1,1282.81,0.4
R-64698,FF|Burger|lionsmane crunch|AAD,GV FRESH FARE DAY,Green,False,False,True,362.8042356997358,2.5236487063224815,1.359104055849113,47.88,1546.22,120.93,0.84,15.96,515.41,0.45
R-55942,FF|Falafel bowl|AAD,GV FRESH FARE DAY,Green,False,False,True,560.6025300992978,2.703252900131182,1.9040226333890389,79.54,1601.37,199.15,0.96,28.26,568.87,0.68
R-70058,FF|Omelette|3Cheese|AAD,GV FRESH FARE BREAKFAST,Red,True,False,False,1573.1109771204078,20.086340847183433,2.389151710480114,267.9,11401.72,555.87,7.1,94.66,4028.88,0.84
R-70095,FF|Omelette|Mushroom&Ched|AAD,GV FRESH FARE BREAKFAST,Red,True,False,False,967.8239414738564,13.822301192011018,1.7283084992732176,160.67,5805.33,406.65,5.81,67.51,2439.21,0.73
R-71818,FF|Omelette|Pepper&Onion|AAD,ADD ONS,Red,True,False,False,685.4173752562306,11.139002128637344,1.3494806924962233,112.79,3352.09,599.51,9.74,98.65,2931.94,1.18
R-44732,FF|Omelette|Shitake Mozza|AAD,ADD ONS,Red,True,False,False,919.0309832027516,13.478230043799533,1.6535586341086992,154.14,5449.86,659.61,9.67,110.63,3911.48,1.19
R-70057,FF|Omelette|SpinachFeta|AAD,GV FRESH FARE BREAKFAST,Red,True,False,False,1058.602977120408,14.804340847183433,1.8091517104801145,177.6,6691.51,402.51,5.63,67.53,2544.3,0.69
R-61853,FF|Overnight oats|AppleCin|AAD,GV FRESH FARE BREAKFAST,Green,False,False,True,476.8464998333333,1.6949614999999998,1.2064630833333323,110.35,4061.11,140.25,0.5,32.46,1194.44,0.35
R-61855,FF|Overnight oats|Banana|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,573.0280978494624,1.365257177419355,1.130242817204301,136.24,6703.02,163.72,0.39,38.93,1915.15,0.32
R-72313,FF|Overnight Oats|BlackB|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,642.9626223392584,1.3454204427254772,1.133327919245117,157.06,7567.05,169.2,0.35,41.33,1991.33,0.3
R-66411,FF|Overnight Oats|Blue|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,663.7498757715404,1.4778857488479262,1.172160869152353,157.43,7553.77,170.19,0.38,40.37,1936.86,0.3
R-73481,FF|Overnight Oats|Matcha|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,965.7558756272424,1.0866696774193554,1.5130861505376365,109.24,5907.16,338.86,0.38,38.33,2072.69,0.53
R-69124,FF|Overnight Oats|Straw|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,585.9252570331358,1.3621576876234365,1.131685266183893,140.2,6860.93,160.53,0.37,38.41,1879.71,0.31
R-73482,FF|Overnight Oats|Tiramisu|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,901.3449270833358,2.7246645833333334,1.50419791666667,72.04,3668.11,367.9,1.11,29.4,1497.19,0.61
R-73480,FF|OvernightOats|Pineapple|AAD,GV FRESH FARE BREAKFAST,Yellow,False,True,False,598.2010978494624,1.4427571774193548,1.211092817204301,149.03,6907.46,155.38,0.37,38.71,1794.15,0.31
R-47827,FF|Pasta|Artichoke Penne|AAD,GV FRESH FARE FEATURE,Red,True,False,False,1310.3200702902257,11.37279883311858,2.8038578590237435,219.76,8918.54,383.13,3.33,64.26,2607.76,0.82
R-68821,FF|Pasta|Duxcell Spaghetti|AAD,SPECIALS,Green,False,False,True,392.0429592092156,4.042575606117647,0.8887620135960697,75.67,3023.77,134.22,1.38,25.91,1035.19,0.3
