Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-61778,ALF|Flatbread|4 Cheese,OK - AL FORNO,Red,True,False,False,1229.9474999999995,11.939,1.900349999999995,212.84,10662.59,664.84,6.45,115.05,5763.56,1.03
R-61780,ALF|Flatbread|Apple & Pancetta,OK - AL FORNO,Red,True,False,False,756.34575,9.03125,1.444974999999991,144.99,5287.95,540.25,6.45,103.56,3777.11,1.03
R-61749,ALF|Flatbread|BBQ Chicken,OK - AL FORNO,Red,True,False,False,981.5526160127016,19.02233903922722,2.129033800212832,118.33,3210.73,400.63,7.76,48.3,1310.5,0.87
R-61737,ALF|Flatbread|Beef & Onion,OK - AL FORNO,Red,True,False,False,5945.036261509662,48.33216322291236,17.62278022481021,295.78,11470.61,2161.83,17.58,107.56,4171.13,6.41
R-68122,ALF|Flatbread|Beef Onion|TMRW,OK - AL FORNO,Yellow,False,True,False,599.2138615096618,4.988296556245686,1.141740224810209,72.64,3286.15,217.9,1.81,26.41,1194.96,0.42
R-50859,ALF|Flatbread|Bruschetta,OK - AL FORNO,Yellow,False,True,False,458.909594489244,4.592488765549882,0.6681840211900886,75.99,3520.49,213.45,2.14,35.34,1637.44,0.31
R-50788,ALF|Flatbread|Caprese,OK - AL FORNO,Yellow,False,True,False,632.1704476190475,6.3740680272108845,0.8484574829931923,107.66,5154.23,271.32,2.74,46.21,2212.12,0.36
R-61781,ALF|Flatbread|Chick Artichoke,OK - AL FORNO,Red,True,False,False,979.7513108330232,17.010357200795195,1.956602845111491,134.54,4604.56,399.9,6.94,54.91,1879.41,0.8
R-50858,ALF|Flatbread|Greek,OK - AL FORNO,Yellow,False,True,False,407.3991104632713,3.745455992949468,0.9071724874752242,60.78,2653.76,203.7,1.87,30.39,1326.88,0.45
R-50120,ALF|Flatbread|Ham & Pineapple,OK - AL FORNO,Red,True,False,False,1011.3153366071429,12.237852653061225,1.9161854668367235,186.0,6812.9,493.32,5.97,90.73,3323.37,0.93
R-61498,ALF|Flatbread|Hawaii Five-0,OK - AL FORNO,Red,True,False,False,966.7633366071428,11.771352653061223,1.8638854668367235,178.2,6410.59,483.38,5.89,89.1,3205.3,0.93
R-50562,ALF|Flatbread|Italian,OK - AL FORNO,Red,True,False,False,600.2818496894411,7.138331854480923,1.17112085181898,110.32,3893.0,411.15,4.89,75.56,2666.44,0.8
R-56337,ALF|Flatbread|Mediterranean,OK - AL FORNO,Yellow,False,True,False,313.69869826086955,3.1728769565217387,0.5179259130434732,56.39,2459.8,216.34,2.19,38.89,1696.41,0.36
R-61779,ALF|Flatbread|Mushroom Pesto,OK - AL FORNO,Yellow,False,True,False,501.2245711743772,5.302864006100661,1.0591152008134164,87.69,3902.32,244.5,2.59,42.78,1903.57,0.52
R-50590,ALF|Flatbread|OK,OK - AL FORNO,Yellow,False,True,False,314.4434195238095,3.3166038170823886,0.5120813643235023,55.39,2428.78,190.57,2.01,33.57,1471.99,0.31
R-73189,ALF|Flatbread|Pepperoni,OK - AL FORNO,Red,True,False,False,1150.4753366071427,14.346352653061224,2.2629854668367217,214.3,7495.3,605.51,7.55,112.79,3944.89,1.19
R-50824,ALF|Flatbread|Pulled Pork,OK - AL FORNO,Red,True,False,False,1743.4843903327176,22.095916734236617,3.4663630574746858,314.97,10558.26,633.99,8.03,114.53,3839.37,1.26
R-61755,ALF|Flatbread|Roasted Root Veg,OK - AL FORNO,Yellow,False,True,False,364.4871454859347,3.715464586188104,0.6850549639024834,69.26,3277.85,182.24,1.86,34.63,1638.92,0.34
R-67980,ALF|Flatbread|Salmon|Vegan,OK - AL FORNO,Yellow,False,True,False,386.95845831441113,3.7639583144111417,1.0216984691946664,84.76,998.08,266.87,2.6,58.46,688.33,0.7
R-61742,ALF|Flatbread|Shrimp Pesto,OK - AL FORNO,Red,True,False,False,1541.536869430052,7.132472797927461,0.7228606217616529,126.17,5268.62,868.47,4.02,71.08,2968.24,0.41
R-50896,ALF|Flatbread|Smoked Salmon,OK - AL FORNO,Yellow,False,True,False,470.22654819009233,5.683256523425673,0.759976703470325,115.92,2607.36,335.88,4.06,82.8,1862.4,0.54
R-50540,ALF|Moussaka,OK - AL FORNO,Red,True,False,False,2739.363566235294,23.10628382352941,7.1765268235293975,160.8,6697.52,652.23,5.5,38.29,1594.65,1.71
R-61659,ALF|Pasta|Cauliflower Cheese,OK - AL FORNO,Yellow,False,True,False,447.3265391918716,4.288097052010839,0.7086305050731488,62.66,2905.47,223.66,2.14,31.33,1452.74,0.35
R-56505,ALF|Pasta|Chicken Alfredo,OK - AL FORNO,Yellow,False,True,False,1086.4549032964087,13.580881945685189,1.8547937567000023,166.06,7067.18,285.91,3.57,43.7,1859.78,0.49
R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO,Yellow,False,True,False,1178.8558383773636,13.790346143512346,2.1244943593381524,207.53,8132.97,257.96,3.02,45.41,1779.64,0.46
R-61435,ALF|Pasta|Mac & Cheese,OK - AL FORNO,Yellow,False,True,False,1002.7227298590286,10.36421087317303,1.4945265066635134,190.82,8944.36,250.68,2.59,47.7,2236.09,0.37
