Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-62187,ADD|Fried Egg,FT STICKS AND SPOONS,Red,True,False,False,137.18230406543788,2.020985734481714,0.2931914308286281,21.22,639.19,359.12,5.29,55.55,1673.27,0.77
R-44853,ADD|Poached Egg,FEAST,Yellow,False,True,False,120.829501208295,2.019600020196,0.2257200022572,20.89,614.49,241.66,4.04,41.78,1228.98,0.45
R-52741,BAKE|Croissant|Plain,FT BAKERY,Yellow,False,True,False,98.96250000000052,0.9620000000000052,0.3178499999999952,27.25,833.41,152.25,1.48,41.92,1282.17,0.49
R-64998,BNO| Nachos|Loaded,FT BUENO,Yellow,False,True,False,1693.0831558526709,12.525321691905996,3.7840369997505703,181.14,10058.17,315.29,2.33,33.73,1873.03,0.7
R-71173,BNO|Achiote Chicken|PLATE,FEAST,Yellow,False,True,False,1121.0967279524916,20.111837091855637,3.46506798738965,129.88,781.54,289.32,5.19,33.52,201.69,0.89
R-71472,BNO|BEEF|Chimichanga|PLATE,FEAST,Red,True,False,False,5571.845662883608,42.46500425005234,16.107838478178728,319.62,11215.45,1121.1,8.54,64.31,2256.63,3.24
R-44310,BNO|Bowl|Ancho Steak,FT BUENO,Red,True,False,False,3614.586490534498,27.06878630004697,10.288200068180451,226.81,7950.13,976.92,7.32,61.3,2148.68,2.78
R-57179,BNO|Bowl|Chicken Fajita ,FT BUENO,Yellow,False,True,False,757.6212552180114,12.053684843056786,1.7283974476279311,103.89,1198.81,199.37,3.17,27.34,315.48,0.45
R-35900,BNO|Bowl|Latin,FT BUENO,Green,False,False,True,592.9334147664972,3.1404979081069,2.1351209613857676,48.43,1712.17,144.62,0.77,11.81,417.6,0.52
R-44301,BNO|Bowl|Poblano&Mushroom,FT BUENO,Green,False,False,True,648.4409571608807,4.064944727243257,1.2594882367836109,139.21,2608.97,125.91,0.79,27.03,506.6,0.24
R-44308,BNO|Bowl|Pulled Pork,FT BUENO,Yellow,False,True,False,1471.0397716868315,15.201035898698802,3.009720342759293,251.62,7110.59,338.17,3.49,57.84,1634.62,0.69
R-17487,BNO|Bowl|Roja-tots,FT BUENO,Green,False,False,True,512.5746547967889,5.324645974190323,0.8309996756316395,53.23,1523.67,139.29,1.45,14.46,414.04,0.23
R-51218,BNO|Bowl|Seasonal Squash,FT BUENO,Yellow,False,True,False,803.3069165528367,6.997844439064578,1.3651992460143971,156.83,4724.92,234.89,2.05,45.86,1381.56,0.4
R-56981,BNO|Bowl|Street corn ,FT BUENO,Yellow,False,True,False,763.6643041356856,4.8817248556060795,1.2461882845454526,120.0,3632.24,221.35,1.41,34.78,1052.82,0.36
R-51216,BNO|Bowl|Super Tofu,FT BUENO,Green,False,False,True,552.8302576028968,2.527424038691417,1.4061077171688383,85.66,1101.56,133.21,0.61,20.64,265.44,0.34
R-67814,BNO|Breakfast|Molletes,FT BUENO,Green,False,False,True,781.3362964678125,6.759679820402149,2.5904143568680444,122.54,4784.78,101.47,0.88,15.91,621.4,0.34
R-43587,BNO|Burrito|Ancho Chicken,FT BUENO,Green,False,False,True,884.4300327670308,13.392151370156544,2.220618213637108,144.94,2173.6,168.46,2.55,27.61,414.02,0.42
