animal_recipe,animal_recipe_ID,plant_recipe,plant_recipe_ID,animal_GHG Emission (g) / 100g,plant_GHG Emission (g) / 100g,animal_N lost (g) / 100g,plant_N lost (g) / 100g,animal_Freshwater Withdrawals (L) / 100g,plant_Freshwater Withdrawals (L) / 100g,animal_Stress-Weighted Water Use (L) / 100g,plant_Stress-Weighted Water Use (L) / 100g,animal_Land Use (m^2) / 100g,plant_Land Use (m^2) / 100g
COCONUT MISO SALMON BOWL,R-73323,COCONUT MISO TOFU BOWL,R-73499,328.88,147.49,3.5,0.58,92.0,23.09,542.99,163.86,0.47,0.27
CHICKEN TIKKA MASALA BOWL,R-68226,TOFU TIKKA MASALA BOWL,R-68229,417.22,204.23,5.08,1.07,76.63,38.63,1785.27,595.57,0.87,0.36
SALMON BURGER,R-44931,JACKFRUIT BURGER,R-53579,349.97,131.2,4.24,0.86,95.86,14.18,1028.02,434.4,0.7,0.3
MAUI CHICKEN BURGER,R-56454,JACKFRUIT BURGER,R-53579,350.96,131.2,6.46,0.86,37.24,14.18,898.0,434.4,0.94,0.3
SQR|Thai Green Fish Curry+1,R-57350,SQR|TOFU|Thai Green Curry ,R-49260,338.62,230.13,3.0,0.4,83.59,0.91,404.84,21.85,0.6,0.22
SHRIMP PESTO FLATBREAD,R-61742,MUSHROOM PESTO FLATBREAD,R-61779,868.47,244.5,4.02,2.59,71.08,42.78,2968.24,1903.57,0.41,0.52
SALMON LEMON OLIVE OIL,R-62715,HC|Lemon Olive Oil Tofu|AAD,R-73542,266.89,134.8,3.03,0.64,95.22,38.02,520.67,213.54,0.41,0.27
CITRUS PORK SKEWER,R-62631,CITRUS MUSHROOM SKEWER,R-62639,480.57,154.09,5.68,1.19,113.47,56.52,2842.2,1076.23,0.96,0.26
SPICY SOY SALMON,R-61967,SPICY SOY TOFU,R-62288,624.1,158.27,8.47,0.7,186.12,2.34,1036.3,88.66,0.98,0.37
SQR|Spicy Soy Salmon+1,R-41085,SQR|Spicy Soy Tofu+1,R-41089,341.54,152.23,3.7,0.5,101.29,24.9,500.0,90.84,0.42,0.21
SESAME GINGER CHICKEN PLATE,R-73143,SESAME GINGER TOFU PLATE,R-62138,261.39,148.38,4.9,0.69,38.96,28.19,307.5,234.94,0.68,0.36
SHOYU SALMON,R-69236,SHOYU TOFU,R-61956,239.12,130.18,2.7,0.6,82.08,36.91,455.82,215.05,0.37,0.26
CHICKEN VINDALOO PLATE,R-44403,CHICKPEA VINDALOO,R-56827,413.04,124.59,5.45,0.79,76.17,28.73,1940.51,337.4,0.96,0.34
BUTTER CHICKEN,R-56775,BUTTER TOFU,R-57264,436.35,239.19,4.26,1.24,43.88,45.2,1218.49,1014.25,0.73,0.41
CHICKEN VINDALOO PLATE,R-44403,CHICKPEA VINDALOO,R-56827,413.04,124.59,5.45,0.79,76.17,28.73,1940.51,337.4,0.96,0.34
SHOYU CHICKEN,R-45153,SHOYU TOFU,R-61956,215.62,130.18,3.75,0.6,51.57,36.91,197.24,215.05,0.47,0.26
BEEF STROGANOFF,R-50007,MUSHROOM STROGANOFF,R-67287,984.2,134.71,7.82,1.2,51.21,18.87,2077.49,906.0,2.86,0.25
CHICKEN APPLE SALAD SANDWICH,R-68083,CHICKPEA SALAD SANDWICH,R-68078,292.07,148.49,4.89,0.45,30.79,1.43,543.68,51.48,0.95,0.97
CHICKEN APPLE SALAD SANDWICH,R-68083,CHICKPEA SALAD SANDWICH,R-68078,292.07,148.49,4.89,0.45,30.79,1.43,543.68,51.48,0.95,0.97
TURKEY & EGG MUFFIN,R-44823,VEGAN BREAKFAST SANDWICH,R-69443,247.84,170.9,2.83,0.89,36.05,14.46,1264.46,481.62,0.42,0.52
CHICKEN CAESAR WRAP,R-68143,CHICKPEA SALAD SANDWICH,R-68078,294.92,148.49,5.26,0.45,35.61,1.43,881.76,51.48,0.79,0.97
CHICKEN TINGA TACO,R-67551,CHICKPEA TACO,R-67695,363.53,208.12,6.07,1.07,40.31,8.05,1521.09,435.58,0.72,1.01
FRIED CHICKEN TACO,R-61877,CHICKPEA TACO,R-67695,270.13,208.12,4.8,1.07,27.32,8.05,452.86,435.58,0.61,1.01
CHICKEN TINGA TACO,R-67551,JACKFRUIT TINGA TACO,R-71310,363.53,236.13,6.07,2.07,40.31,24.79,1521.09,1367.11,0.72,0.41
FRIED CHICKEN TACO,R-61877,JACKFRUIT TINGA TACO,R-71310,270.13,236.13,4.8,2.07,27.32,24.79,452.86,1367.11,0.61,0.41
